Drug,Dose,Units,Hours,BioRep,TechRep,Target,Count
AVB3InhibitorCilengitide,10,nM,12,3,1,PTHrP,0.183617527
AVB3InhibitorCilengitide,10,nM,12,3,2,PTHrP,0.190428159
AVB3InhibitorCilengitide,10,nM,12,3,3,PTHrP,0.126475946
AVB3InhibitorCilengitide,20,nM,12,1,1,PTHrP,0.328207969
AVB3InhibitorCilengitide,20,nM,12,1,2,PTHrP,0.223257326
AVB3InhibitorCilengitide,20,nM,12,1,3,PTHrP,0.230110744
AVB3InhibitorCilengitide,20,nM,12,2,1,PTHrP,0.177921877
AVB3InhibitorCilengitide,20,nM,12,2,2,PTHrP,0.234206649
AVB3InhibitorCilengitide,20,nM,12,2,3,PTHrP,0.161235482
AVB3InhibitorCilengitide,20,nM,12,3,1,PTHrP,0.202066292
AVB3InhibitorCilengitide,20,nM,12,3,2,PTHrP,0.25413867
AVB3InhibitorCilengitide,20,nM,12,3,3,PTHrP,0.281426461
AVB3InhibitorCilengitide,0,nM,24,1,1,PTHrP,0.815941709
AVB3InhibitorCilengitide,0,nM,24,1,2,PTHrP,0.555978208
AVB3InhibitorCilengitide,0,nM,24,1,3,PTHrP,0.901204601
AVB3InhibitorCilengitide,0,nM,24,2,1,PTHrP,0.538784795
AVB3InhibitorCilengitide,0,nM,24,2,2,PTHrP,0.510959138
AVB3InhibitorCilengitide,0,nM,24,2,3,PTHrP,0.451875772
AVB3InhibitorCilengitide,0,nM,24,3,1,PTHrP,0.6166919
AVB3InhibitorCilengitide,0,nM,24,3,2,PTHrP,0.98092687
AVB3InhibitorCilengitide,0,nM,24,3,3,PTHrP,0.510905107
AVB3InhibitorCilengitide,5,nM,24,2,1,PTHrP,0.341790224
AVB3InhibitorCilengitide,5,nM,24,2,2,PTHrP,0.251348301
AVB3InhibitorCilengitide,5,nM,24,2,3,PTHrP,0.224336349
AVB3InhibitorCilengitide,5,nM,24,3,1,PTHrP,0.409551456
AVB3InhibitorCilengitide,5,nM,24,3,2,PTHrP,0.364714015
AVB3InhibitorCilengitide,5,nM,24,3,3,PTHrP,0.407920991
AVB3InhibitorCilengitide,10,nM,24,1,1,PTHrP,0.156883384
AVB3InhibitorCilengitide,10,nM,24,1,2,PTHrP,0.209776699
AVB3InhibitorCilengitide,10,nM,24,1,3,PTHrP,0.229504387
AVB3InhibitorCilengitide,10,nM,24,2,1,PTHrP,0.417721821
AVB3InhibitorCilengitide,10,nM,24,2,2,PTHrP,0.27386075
AVB3InhibitorCilengitide,10,nM,24,2,3,PTHrP,0.208010808
AVB3InhibitorCilengitide,20,nM,24,1,1,PTHrP,0.245942766
AVB3InhibitorCilengitide,20,nM,24,1,2,PTHrP,0.252440787
AVB3InhibitorCilengitide,20,nM,24,1,3,PTHrP,0.235949567
AVB3InhibitorCilengitide,20,nM,24,2,1,PTHrP,0.257720432
AVB3InhibitorCilengitide,20,nM,24,2,2,PTHrP,0.305962191
AVB3InhibitorCilengitide,20,nM,24,2,3,PTHrP,0.279025332
AVB3InhibitorCilengitide,20,nM,24,3,1,PTHrP,0.145700447
AVB3InhibitorCilengitide,20,nM,24,3,2,PTHrP,0.107073828
AVB3InhibitorCilengitide,20,nM,24,3,3,PTHrP,0.113165245
AVB3InhibitorCilengitide,0,nM,48,1,1,PTHrP,0.476046401
AVB3InhibitorCilengitide,0,nM,48,1,2,PTHrP,0.453244768
AVB3InhibitorCilengitide,0,nM,48,1,3,PTHrP,0.500206088
AVB3InhibitorCilengitide,0,nM,48,2,1,PTHrP,0.579501929
AVB3InhibitorCilengitide,0,nM,48,2,2,PTHrP,0.427000119
AVB3InhibitorCilengitide,0,nM,48,2,3,PTHrP,0.484493959
AVB3InhibitorCilengitide,0,nM,48,3,1,PTHrP,0.528957219
AVB3InhibitorCilengitide,0,nM,48,3,2,PTHrP,0.468022198
AVB3InhibitorCilengitide,0,nM,48,3,3,PTHrP,0.480356647
AVB3InhibitorCilengitide,5,nM,48,1,1,PTHrP,0.279366154
AVB3InhibitorCilengitide,5,nM,48,1,2,PTHrP,0.219849632
AVB3InhibitorCilengitide,5,nM,48,1,3,PTHrP,0.214126249
AVB3InhibitorCilengitide,5,nM,48,2,1,PTHrP,0.282941357
AVB3InhibitorCilengitide,5,nM,48,2,2,PTHrP,0.22169603
AVB3InhibitorCilengitide,5,nM,48,2,3,PTHrP,0.155641908
AVB3InhibitorCilengitide,5,nM,48,3,1,PTHrP,0.413835007
AVB3InhibitorCilengitide,5,nM,48,3,2,PTHrP,0.420449782
AVB3InhibitorCilengitide,5,nM,48,3,3,PTHrP,0.336650098
AVB3InhibitorCilengitide,10,nM,48,1,1,PTHrP,0.377367078
AVB3InhibitorCilengitide,10,nM,48,1,2,PTHrP,0.244688676
AVB3InhibitorCilengitide,10,nM,48,1,3,PTHrP,0.347641051
AVB3InhibitorCilengitide,10,nM,48,2,1,PTHrP,0.259687065
AVB3InhibitorCilengitide,10,nM,48,2,2,PTHrP,0.191904611
AVB3InhibitorCilengitide,10,nM,48,2,3,PTHrP,0.174904941
AVB3InhibitorCilengitide,10,nM,48,3,1,PTHrP,0.408581678
AVB3InhibitorCilengitide,10,nM,48,3,2,PTHrP,0.266752801
